nom,date,provincial_infection_prevention_controle
North Kivu,21-05-2026,"Decontamination of Matanda Hospital where the confirmed Katwa case is staying. IPC scorecard assessment of Matanda Hospital: 70.6%. Case mapping. ETC situation review to identify IPC supply needs (PPE, water supply, waste management, patient circuit)."
Ituri,05-06-2026,"Briefing of 15 healthcare providers from 4 health facilities (CS Aero, CM Chirurgical Croix Verte, CH Rwankole, CS Rwambuzi) on standard precautions, waste management and handwashing. Briefing of 14 healthcare providers (4 CSR Nyangaray, 4 CSR Zengo, 3 CS Tsili, 3 CS Tchudja) on handwashing, biocleaning and waste management. Decontamination of the Saint-Nicolas orphanage (AS Bankoko). Ring opening around the Saint-Nicolas orphanage in 3 health facilities of AS Bankoko, 13 churches and 433 households."
North-Kivu,05-06-2026,"Scorecard assessment in 5 health facilities in Katwa HZ: average IPC score 40%. Briefing of 28 providers on various IPC topics in assessed facilities. Briefing of 5 healthcare providers in Beni HZ. 1 SDB conducted in Katwa. Decontamination of 2 health facilities and 1 household in Katwa HZ. Revitalisation of IPC-WASH committees in five health facilities. Reorganisation of triage and isolation circuits in Butsili and Ngongolio health centres."
South-Kivu,05-06-2026,"Scorecard assessment of 2 health facilities in Miti-Murhesa HZ (CH Lwiro: 42%, CS Kahungu: 35.5%) and development of improvement plans. Provision of IPC supplies: 100 handwashing kits (40 to health facilities, 60 distributed in the community), 40 decontamination kits deployed in Miti-Murhesa and Katana HZs."
North-Kivu,22-05-2026,"Decontamination of Matanda Hospital where the confirmed Katwa case is staying. IPC scorecard assessment of Matanda Hospital: 70.6%. Case mapping. ETC situation review to identify IPC supply needs (PPE, water supply, waste management, patient circuit)."
Ituri,06-06-2026,"6/15 safe burials carried out and briefing of 23 providers of 6 facilities on EVD generalities, biocleaning and standard precautions. Aru HZ: briefing of 10 providers on standard precautions, donning/doffing PPE, waste management; decontamination of a confirmed case's household; 3 safe burials on 5 alerts (2 postponed due to family resistance). Mongbwalu: 8 safe burials on 9 alerts, decontamination of 7 facilities and briefing of 33 providers on handwashing and waste management."
North-Kivu,06-06-2026,"Risk assessment of providers at CH Saint Joseph (AS Rughenda); IPC scorecard assessment: Clinique La Vie des Hommes (27.5%), Disp Nya Kalunga Makuha (22.5%), CS Vuhika (51.1%), CS Masuli (46.5%) — average 36.9%; decontamination of 2/6 premises of the Horizon university clinics (Goma HZ) around two providers who tested positive."
South-Kivu,06-06-2026,"Support to the RIT for the Nyangezi investigation; scorecard assessment in two facilities of Miti-Murhesa HZ (Chaoboka 38%, CH Lwiro Centre 43%) and development of improvement plans; support to decontamination of the intensive-care unit at HGR Katana; distribution of IPC supplies (100 handwashing kits — 40 to facilities, 60 to community; 40 decontamination kits in Miti-Murhesa and Katana HZ)."
Ituri,07-06-2026,"Scorecard assessment in 8 health facilities (Bunia 4: scores 11.3%-67.7%; Aru 2: 5% and 25%; Bambu 1: 58.1%; Nyankunde 1: 45.8%). Start of training of 2 local SDB teams (24 providers) in Nizi HZ. Bunia HZ: briefing of 8 surface technicians on biocleaning, 20 supervisors on scorecard assessment; opening of 3 rings around confirmed cases in Aero AS, Rwambuzi AS and one health facility (churches, schools, households and health facilities identified); decontamination of CH Mudzi (internal medicine building and semi-clinical block), 3 houses of confirmed cases, followed by provision of handwashing devices. Aru HZ: briefing of 5 PPL on standard precautions, PPE donning/doffing and waste management; 30 ring households identified. Rwampara HZ: briefing of 12 people and decontamination of 6 households of confirmed cases. Mongbwalu HZ: 6 SDBs carried out on 8 alerts (2 ongoing due to community resistance) and 6 decontaminations."
North-Kivu,07-06-2026,"Follow-up and accompaniment at CS Mitoya, CS Mukuna, CS Kyaghala in Katwa HZ; closure of training of 45 health providers at Katwa ETC; decontamination of 4/6 premises of Horizon university clinics in Goma HZ around two confirmed cases."
South-Kivu,07-06-2026,"Securing of a body in intensive care at HGR FOMULAC Katana; support for decontamination of Kabindi primary school and mentoring of 4 people on preparation of 0.05% and 0.5% chlorinated solution; briefing of 208 people from 6 health areas of Katana and Mitimurhesa HZs on decontamination, SDB and respect for barrier measures."
Ituri,08-06-2026,"Scorecard assessment in 19 health facilities of Bunia HZ (1 facility: 38.7%), Mongbwalu HZ (2 facilities: 11% and 12%), Bambu HZ (16 facilities: all <50.0%); start of training for 50 healthcare providers (20 supervisors and 30 focal points) from 16 health facilities of Bunia HZ on IPC; opening of 3 rings around confirmed cases in Bunia HZ (households, health facilities and other public places identified: 10/11 sites identified, decontaminated), Rwampara HZ (households, health facilities and church identified: 8/9 sites identified decontaminated) and Mongbwalu HZ (12/17 households were decontaminated): briefing of 19 healthcare providers (CS Nyakasanza, CS Bunia Cité) on waste management, hand hygiene, biocleaning; of 10 providers from CS Bora Uzima on PPE donning/doffing; and of 5 other providers from AS Ndibakudu (PS Arche de Noé and La Grâce de Dieu) on general EVD concepts; briefing of 9 Surface Technicians on EVD and standard IPC precautions."
North-Kivu,08-06-2026,"2/4 health facilities decontaminated around 2 confirmed cases in Katwa; 3 households identified and planned for decontamination in Katwa; 7/8 health facilities accompanied and 37 providers were briefed on IPC topics in these facilities."
South-Kivu,08-06-2026,"Decontamination of the intensive care unit at HGR KATANA and the Nyakadaka cantonment site; scorecard assessment of Kalagane health facility (40.0%) and CM Joponika (9.7%) followed by development of recovery plans; briefing of 12 providers at HGR Katana on decontamination, PPE donning/doffing; assessment of 5 hot spots and installation of handwashing devices in Mitimurhesa health zone."
